N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.8,82.0,6.5,202.9,rice
85,58,41,21.7,80.3,7.0,226.6,rice
60,55,44,23.0,82.3,7.8,263.9,rice
74,35,40,26.4,80.1,6.9,242.8,rice
78,42,42,20.1,81.6,7.6,262.7,rice
91,53,40,26.5,81.4,5.3,264.6,rice
115,55,35,21.5,65.2,5.8,75.4,wheat
125,62,42,23.1,62.3,6.5,85.1,wheat
105,58,45,18.8,58.5,6.1,95.9,wheat
135,65,38,17.2,61.8,5.5,102.3,wheat
110,54,41,24.5,68.9,7.1,81.4,wheat
130,60,39,16.5,55.1,5.9,112.2,wheat
75,55,42,22.2,63.0,6.4,91.2,barley
65,48,45,20.8,60.5,6.8,80.9,barley
80,42,38,18.1,58.8,6.1,75.1,barley
55,37,35,24.2,65.3,7.1,85.9,barley
70,50,40,15.5,55.9,5.9,62.2,barley
112,58,40,32.2,63.5,6.8,75.3,maize
108,52,38,30.8,61.5,7.0,85.1,maize
96,48,42,28.8,65.1,6.5,90.9,maize
81,37,35,26.1,60.3,5.8,105.9,maize
92,54,39,22.5,58.1,5.5,65.2,maize
85,45,41,24.5,68.9,7.1,111.4,maize
95,45,45,28.5,62.2,6.4,450.5,jowar (sorghum)
75,52,42,29.8,65.3,6.1,550.1,jowar (sorghum)
90,38,38,26.1,58.5,5.8,600.9,jowar (sorghum)
105,55,35,31.2,55.8,5.5,400.3,jowar (sorghum)
80,44,41,27.5,68.9,7.1,681.4,jowar (sorghum)
90,40,40,30.5,60.1,5.9,412.2,pearl millet (bajra)
75,45,42,32.8,58.3,6.5,350.1,pearl millet (bajra)
95,38,38,28.1,55.5,5.8,300.9,pearl millet (bajra)
110,50,35,34.2,52.8,5.5,250.3,pearl millet (bajra)
80,44,41,29.5,61.9,7.1,381.4,pearl millet (bajra)
55,45,28,28.2,93.2,6.4,950.5,ragi (finger millet)
45,52,22,29.8,90.3,6.1,1050.1,ragi (finger millet)
60,38,28,26.1,88.5,5.8,1100.9,ragi (finger millet)
40,55,25,31.2,85.8,5.5,800.3,ragi (finger millet)
50,44,21,27.5,91.9,7.1,1181.4,ragi (finger millet)
35,65,75,18.5,16.5,6.5,80.5,chickpea
40,72,79,19.2,17.2,7.0,75.3,chickpea
26,78,82,17.8,15.5,7.2,85.1,chickpea
22,68,84,18.5,19.9,7.5,71.4,chickpea
38,58,83,18.2,17.0,6.3,91.2,chickpea
25,65,22,24.5,62.5,7.0,45.5,lentil
30,72,19,21.2,60.2,7.2,50.3,lentil
16,78,18,18.8,65.5,6.5,35.1,lentil
22,58,24,17.5,69.9,6.5,51.4,lentil
38,58,19,22.2,69.0,6.9,41.2,lentil
25,72,25,19.5,61.8,6.6,46.6,lentil
15,65,22,28.5,45.5,5.8,160.5,pigeon pea (arhar)
20,72,19,31.2,48.2,6.0,175.3,pigeon pea (arhar)
36,78,18,28.8,55.5,5.5,185.1,pigeon pea (arhar)
22,58,24,24.5,49.9,5.5,141.4,pigeon pea (arhar)
38,58,19,32.2,39.0,5.9,191.2,pigeon pea (arhar)
25,55,18,28.5,85.5,6.8,45.5,mung bean
30,42,19,29.2,88.2,7.0,55.3,mung bean
16,48,18,26.8,80.5,6.5,35.1,mung bean
22,58,24,27.5,89.9,6.5,41.4,mung bean
38,58,19,29.2,89.0,6.9,41.2,mung bean
45,65,22,33.5,65.5,7.0,65.5,black gram
30,72,19,31.2,68.2,7.2,70.3,black gram
26,78,18,28.8,60.5,6.5,75.1,black gram
22,58,24,27.5,69.9,6.5,61.4,black gram
38,58,19,32.2,69.0,6.9,71.2,black gram
35,55,32,22.5,68.2,5.8,100.5,soybean
20,65,18,24.2,72.3,6.0,150.3,soybean
45,75,22,26.8,75.5,6.5,205.1,soybean
15,62,18,28.1,70.3,6.8,180.9,soybean
30,78,24,23.5,74.9,5.5,221.4,soybean
35,55,32,23.5,58.2,6.2,140.5,mustard
20,45,18,20.2,62.3,6.5,100.3,mustard
45,35,22,25.8,55.5,5.8,85.1,mustard
15,42,18,18.1,60.3,6.1,70.9,mustard
30,38,24,15.5,54.9,5.5,51.4,mustard
35,55,32,24.5,88.2,6.2,120.5,groundnut
20,45,18,28.2,85.3,6.5,100.3,groundnut
45,35,22,30.8,82.5,5.8,85.1,groundnut
15,42,18,26.1,80.3,6.1,90.9,mustard
30,38,24,22.5,84.9,5.5,71.4,mustard
55,85,62,21.5,88.2,5.2,120.5,sunflower
65,72,58,24.2,85.3,5.5,100.3,sunflower
45,95,68,26.8,82.5,5.8,85.1,sunflower
75,82,58,28.1,80.3,6.1,90.9,sunflower
60,78,64,22.5,84.9,5.5,71.4,sunflower
35,45,22,22.5,78.2,5.2,60.5,sesame
45,52,18,24.2,75.3,5.5,70.3,sesame
25,35,22,26.8,72.5,5.8,85.1,sesame
15,42,18,28.1,70.3,6.1,40.9,sesame
30,48,24,23.5,74.9,5.5,51.4,sesame
125,55,52,24.2,78.2,6.8,180.5,cotton
135,42,48,23.2,80.2,7.0,80.3,cotton
106,38,18,22.8,82.5,6.5,85.1,cotton
131,47,19,25.1,76.3,6.8,90.9,cotton
122,38,24,23.5,83.9,6.5,95.4,cotton
85,45,42,25.2,86.2,6.8,170.5,jute
60,42,38,26.2,78.2,7.0,180.3,jute
63,48,41,24.8,85.5,6.5,185.1,jute
81,37,39,26.1,73.3,6.8,160.9,jute
92,58,44,24.5,71.9,7.5,195.4,jute
285,115,125,24.5,75.2,6.2,2000.5,sugarcane
260,122,118,22.2,78.3,5.8,2200.3,sugarcane
300,105,131,26.8,72.5,6.8,1800.1,sugarcane
255,112,119,28.1,70.3,5.5,1500.9,sugarcane
290,128,124,20.5,80.9,5.9,2500.4,sugarcane
125,85,102,12.5,92.2,5.8,1100.5,potato
110,92,98,14.2,90.3,6.0,1150.3,potato
135,78,108,10.8,88.5,5.5,1050.1,potato
105,87,99,11.1,89.3,6.4,1200.9,potato
140,98,104,13.5,93.9,5.5,1000.4,potato
115,85,82,26.2,93.2,6.4,180.5,turmeric
135,52,108,24.8,90.3,6.1,200.3,turmeric
120,48,111,28.8,88.5,6.5,225.1,turmeric
110,65,119,29.1,89.3,6.8,160.9,turmeric
140,58,124,23.5,91.9,6.9,250.4,turmeric
125,85,82,22.2,68.2,6.4,130.5,tomato
110,92,78,24.8,65.3,6.1,100.3,tomato
135,78,88,20.8,62.5,6.5,155.1,tomato
105,87,79,18.1,60.3,6.8,180.9,tomato
140,98,84,26.5,58.9,5.9,110.4,tomato
115,65,62,22.2,93.2,6.4,80.5,brinjal
105,52,58,24.8,90.3,6.1,90.3,brinjal
130,78,58,20.8,88.5,6.5,75.1,brinjal
100,57,59,18.1,89.3,6.8,60.9,brinjal
120,58,64,26.5,85.9,5.9,80.4,brinjal
145,85,122,15.2,90.2,6.4,100.5,cabbage
155,72,128,12.8,92.3,6.1,120.3,cabbage
135,78,118,10.8,88.5,6.5,85.1,cabbage
165,87,129,18.1,94.3,6.8,110.9,cabbage
140,88,124,16.5,85.9,5.9,90.4,cabbage
115,65,62,18.2,93.2,6.4,70.5,cauliflower
125,52,58,15.8,90.3,6.1,80.3,cauliflower
105,78,58,12.8,88.5,6.5,65.1,cauliflower
130,57,59,20.1,89.3,6.8,90.9,cauliflower
120,58,64,16.5,85.9,5.9,70.4,cauliflower
115,65,62,28.2,73.2,6.4,80.5,okra
105,52,58,30.8,70.3,6.1,70.3,okra
130,78,58,25.8,68.5,6.5,65.1,okra
100,57,59,32.1,69.3,6.8,90.9,okra
120,58,64,26.5,65.9,5.9,70.4,okra
105,21,32,25.2,62.5,6.8,150.5,coffee
115,32,38,28.2,58.2,7.0,180.3,coffee
86,28,31,22.8,55.5,6.5,135.1,coffee
91,17,29,25.1,66.3,6.8,160.9,coffee
102,28,34,27.5,53.9,6.5,145.4,coffee
145,55,82,22.2,93.2,5.4,2200.5,tea
155,42,78,24.8,90.3,5.1,2500.3,tea
135,48,88,20.8,88.5,5.5,2150.1,tea
165,57,79,18.1,89.3,4.8,2400.9,tea
140,48,84,26.5,85.9,5.9,2000.4,tea