"State","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"ANDHRA PRADESH","17752","446","14984","3218","16681","1524","12503","5508","12504","5639","16257","1916"
"ARUNACHAL PRADESH","1","0","1","0","0","1","0","1","1","0","1","0"
"ASSAM","9220","334","2049","7505","9329","225","9443","111","8164","1390","9035","519"
"BIHAR","10522","110","7239","3393","8177","2454","10122","510","8698","1932","10513","119"
"CHHATTISGARH","23488","370","16604","7342","15171","8764","21573","2376","14909","9014","23412","542"
"GOA","352","0","250","82","49","231","352","0","197","155","352","0"
"GUJARAT","1","0","0","1","1","0","0","1","0","1","0","1"
"HIMACHAL PRADESH","9780","275","1756","21","2882","198","9564","493","9321","734","7526","2532"
"JAMMU & KASHMIR","1600","299","1529","312","1681","342","1296","627","1345","567","1535","389"
"JHARKHAND","1334","35","642","601","1146","222","1353","15","1046","322","1265","104"
"KARNATAKA","3","0","1","2","2","1","1","2","2","1","2","1"
"MADHYA PRADESH","60620","7661","44980","23255","52257","16085","54543","13816","35572","32674","59748","8611"
"MAHARASHTRA","381","24","193","213","164","243","149","259","326","82","330","77"
"ODISHA","1120","123","337","907","783","461","1237","7","608","636","1227","17"
"PUNJAB","447","4","248","200","442","9","447","4","423","28","318","133"
"RAJASTHAN","39411","2599","33","64","27440","3249","20286","21709","22033","19897","36336","5677"
"SIKKIM","7","0","6","1","0","7","7","0","7","0","7","0"
"TAMIL NADU","31489","1013","16161","16323","20006","12483","19619","12884","19490","13005","23956","8554"
"TELANGANA","0","0","0","0","2","0","0","0","0","0","0","0"
"UTTAR PRADESH","113969","5604","82447","37099","82449","37246","86221","33493","80061","39502","107184","12537"
"UTTARAKHAND","2213","22","1648","587","1809","426","2142","93","1967","268","2115","120"
"WEST BENGAL","6038","76","3691","2421","3243","2869","6098","13","4426","1686","5934","179"